FILENAME,TRUE LABEL,PREDICTED LABEL,CONFIDENCE,CONDITION MEANING
Screenshot 2025-10-25 224223.png,Healthy Nail,Healthy Nail,0.9943,Normal nail appearance; no visible abnormalities or diseases.
Screenshot 2025-10-25 224355.png,Healthy Nail,Healthy Nail,0.9942,Normal nail appearance; no visible abnormalities or diseases.
1_PNG_compressed_jpg.rf.2cfdc65647bc1f426eeebed1677b859d.jpg,Beau’s Lines,Beau’s Lines,0.9942,"Possible history of illness, infection, or stress disrupting nail growth."
Screenshot 2025-10-25 214519.png,Bluish Nail,Bluish Nail,0.9941,Possible oxygen deficiency or cyanosis; may indicate heart or lung problems.
Screenshot 2025-10-10 at 3.41.35 PM.png,White Nail (Leukonychia),White Nail (Leukonychia),0.9938,Unknown condition — no rule defined.
Screenshot 2025-10-25 211914.png,Onychogryphosis,Onychogryphosis,0.9938,Possible nail thickening or curvature; common in elderly or due to trauma.
Screenshot 2025-10-25 211836.png,Onychogryphosis,Onychogryphosis,0.9935,Possible nail thickening or curvature; common in elderly or due to trauma.
distal-subungual-onychomycosis-11_jpg.rf.25629342e163212b7708bf6c820c4802.jpg,Onychomycosis,Onychomycosis,0.9934,"Possible fungal nail infection; causes thick, brittle, or discolored nails."
Screenshot 2025-10-25 214318.png,Bluish Nail,Bluish Nail,0.9931,Possible oxygen deficiency or cyanosis; may indicate heart or lung problems.
46Screenshot 2025-10-26 003147.png,Acral Lentiginous Melanoma,Acral Lentiginous Melanoma,0.993,Possible serious skin cancer forming under the nail; seek medical attention.
Screenshot 2025-10-25 213357.png,Bluish Nail,Bluish Nail,0.9925,Possible oxygen deficiency or cyanosis; may indicate heart or lung problems.
Screenshot 2025-10-25 220856.png,Clubbing,Clubbing,0.9925,Possible chronic lung or heart disease causing low oxygen levels.
Screenshot 2025-10-25 224635.png,Healthy Nail,Healthy Nail,0.9925,Normal nail appearance; no visible abnormalities or diseases.
16_PNG_jpg.rf.2c1f82e0a56921475e2c66ad247b4141.jpg,Koilonychia,Koilonychia,0.9924,Possible iron deficiency anemia; nail appears spoon-shaped.
Screenshot 2025-10-25 224251.png,Healthy Nail,Healthy Nail,0.9923,Normal nail appearance; no visible abnormalities or diseases.
Screenshot 2025-10-10 at 3.41.29 PM.png,White Nail (Leukonychia),White Nail (Leukonychia),0.9921,Unknown condition — no rule defined.
Screenshot 2025-10-25 211742.png,Onychogryphosis,Onychogryphosis,0.9921,Possible nail thickening or curvature; common in elderly or due to trauma.
distal-subungual-onychomycosis-9_jpg.rf.6926bb5c33140c62753e2ae2d0032a47.jpg,Onychomycosis,Onychomycosis,0.9919,"Possible fungal nail infection; causes thick, brittle, or discolored nails."
Screenshot 2025-10-25 220737.png,Clubbing,Clubbing,0.9919,Possible chronic lung or heart disease causing low oxygen levels.
Screenshot 2025-10-25 232314.png,Pitting,Pitting,0.9918,Possible psoriasis or eczema; small depressions or dents on the nail surface.
23_PNG_jpg.rf.e65e25a0e0795aab922f13c257129c53.jpg,Koilonychia,Koilonychia,0.9917,Possible iron deficiency anemia; nail appears spoon-shaped.
Screenshot 2025-10-10 at 3.17.40 PM.png,Yellow Nail,Yellow Nail,0.9916,"Possible fungal infection, liver disease, or chronic respiratory issue."
Screenshot 2025-10-10 at 3.21.08 PM.png,Yellow Nail,Yellow Nail,0.9915,"Possible fungal infection, liver disease, or chronic respiratory issue."
distal-subungual-onychomycosis-4_jpg.rf.aecc47359abab494c54d0d12e13896cb.jpg,Onychomycosis,Onychomycosis,0.9915,"Possible fungal nail infection; causes thick, brittle, or discolored nails."
42Screenshot 2025-10-26 002928.png,Acral Lentiginous Melanoma,Acral Lentiginous Melanoma,0.9912,Possible serious skin cancer forming under the nail; seek medical attention.
istockphoto-855985394-612x617.jpg,Psoriasis,Psoriasis,0.9912,Possible autoimmune condition causing pitting or discoloration on nails.
distal-subungual-onychomycosis-10_jpg.rf.15d90e29c72236abd275698c69b92646.jpg,Onychomycosis,Onychomycosis,0.991,"Possible fungal nail infection; causes thick, brittle, or discolored nails."
Screenshot 2025-10-25 220747.png,Clubbing,Clubbing,0.9909,Possible chronic lung or heart disease causing low oxygen levels.
Screenshot 2025-10-10 at 3.41.25 PM.png,White Nail (Leukonychia),White Nail (Leukonychia),0.9909,Unknown condition — no rule defined.
Screenshot 2025-10-10 at 3.20.40 PM.png,Yellow Nail,Yellow Nail,0.9909,"Possible fungal infection, liver disease, or chronic respiratory issue."
Screenshot 2025-10-10 at 3.45.17 PM.png,White Nail (Leukonychia),White Nail (Leukonychia),0.9905,Unknown condition — no rule defined.
Screenshot 2025-10-10 at 3.41.22 PM.png,White Nail (Leukonychia),White Nail (Leukonychia),0.9905,Unknown condition — no rule defined.
k41_png_jpg.rf.2a104af1c976ffbb293ce03758aabf52.jpg,Koilonychia,Koilonychia,0.9903,Possible iron deficiency anemia; nail appears spoon-shaped.
Screenshot 2025-10-25 231632.png,Pitting,Pitting,0.9902,Possible psoriasis or eczema; small depressions or dents on the nail surface.
14_PNG_emboss_jpg.rf.28a439f746298f4e7ea706164eec98e7.jpg,Beau’s Lines,Beau’s Lines,0.9902,"Possible history of illness, infection, or stress disrupting nail growth."
Screenshot 2025-10-25 221110.png,Clubbing,Clubbing,0.99,Possible chronic lung or heart disease causing low oxygen levels.
Screenshot 2025-10-10 at 3.17.10 PM.png,Yellow Nail,Yellow Nail,0.9899,"Possible fungal infection, liver disease, or chronic respiratory issue."
Screenshot 2025-10-25 224344.png,Healthy Nail,Healthy Nail,0.9899,Normal nail appearance; no visible abnormalities or diseases.
Screenshot 2025-10-10 at 3.42.01 PM.png,White Nail (Leukonychia),White Nail (Leukonychia),0.9898,Unknown condition — no rule defined.
Screenshot 2025-10-25 231736.png,Pitting,Pitting,0.9895,Possible psoriasis or eczema; small depressions or dents on the nail surface.
Screenshot 2025-10-25 211734.png,Onychogryphosis,Onychogryphosis,0.9894,Possible nail thickening or curvature; common in elderly or due to trauma.
39Screenshot 2025-10-26 002757.png,Acral Lentiginous Melanoma,Acral Lentiginous Melanoma,0.9894,Possible serious skin cancer forming under the nail; seek medical attention.
k40_png_jpg.rf.d2edefff1a22cdf6a7419fe69ea695d9.jpg,Koilonychia,Koilonychia,0.9893,Possible iron deficiency anemia; nail appears spoon-shaped.
Screenshot 2025-10-25 220913.png,Clubbing,Clubbing,0.989,Possible chronic lung or heart disease causing low oxygen levels.
k19_png_jpg.rf.c5430c9388d0ebe8b5c5b49c2b6d3ad3.jpg,Koilonychia,Koilonychia,0.9889,Possible iron deficiency anemia; nail appears spoon-shaped.
istockphoto-1439441462-612x612.jpg,Psoriasis,Psoriasis,0.9889,Possible autoimmune condition causing pitting or discoloration on nails.
Screenshot 2025-10-25 211601.png,Onychogryphosis,Onychogryphosis,0.9887,Possible nail thickening or curvature; common in elderly or due to trauma.
k4_png_jpg.rf.3c99b3f1c4e85a08698c6a99784b0121.jpg,Koilonychia,Koilonychia,0.9886,Possible iron deficiency anemia; nail appears spoon-shaped.
45Screenshot 2025-10-26 003109.png,Acral Lentiginous Melanoma,Acral Lentiginous Melanoma,0.9885,Possible serious skin cancer forming under the nail; seek medical attention.
19_PNG_compressed_jpg.rf.692cee87b1d1391149eb9a93402826ee.jpg,Beau’s Lines,Beau’s Lines,0.9882,"Possible history of illness, infection, or stress disrupting nail growth."
distal-subungual-onychomycosis-2_jpg.rf.6dae3d68129c5d5abd50b67553a5b3b22.jpg,Onychomycosis,Onychomycosis,0.988,"Possible fungal nail infection; causes thick, brittle, or discolored nails."
Screenshot 2025-10-25 211632.png,Onychogryphosis,Onychogryphosis,0.9879,Possible nail thickening or curvature; common in elderly or due to trauma.
Screenshot 2025-10-10 at 3.45.12 PM.png,White Nail (Leukonychia),White Nail (Leukonychia),0.9878,Unknown condition — no rule defined.
Screenshot 2025-10-25 222930.png,Beau’s Lines,Beau’s Lines,0.9876,"Possible history of illness, infection, or stress disrupting nail growth."
distal-subungual-onychomycosis-2_jpg.rf.c75b025a2591f6c296e64b22a451928e2.jpg,Onychomycosis,Onychomycosis,0.9876,"Possible fungal nail infection; causes thick, brittle, or discolored nails."
Screenshot 2025-10-25 224311.png,Healthy Nail,Healthy Nail,0.9875,Normal nail appearance; no visible abnormalities or diseases.
distal-subungual-onychomycosis-2_jpg.rf.c75b025a2591f6c296e64b22a451928e1.jpg,Onychomycosis,Onychomycosis,0.9871,"Possible fungal nail infection; causes thick, brittle, or discolored nails."
Screenshot 2025-10-25 211900.png,Onychogryphosis,Onychogryphosis,0.9871,Possible nail thickening or curvature; common in elderly or due to trauma.
Screenshot 2025-10-25 211908.png,Onychogryphosis,Onychogryphosis,0.987,Possible nail thickening or curvature; common in elderly or due to trauma.
Screenshot 2025-10-25 224700.png,Healthy Nail,Healthy Nail,0.9869,Normal nail appearance; no visible abnormalities or diseases.
Screenshot 2025-10-25 220828.png,Clubbing,Clubbing,0.9868,Possible chronic lung or heart disease causing low oxygen levels.
Screenshot 2025-10-25 222917.png,Beau’s Lines,Beau’s Lines,0.9865,"Possible history of illness, infection, or stress disrupting nail growth."
Screenshot 2025-10-25 232450.png,Pitting,Pitting,0.9865,Possible psoriasis or eczema; small depressions or dents on the nail surface.
Screenshot 2025-10-10 at 3.48.10 PM.png,White Nail (Leukonychia),White Nail (Leukonychia),0.9865,Unknown condition — no rule defined.
distal-subungual-onychomycosis-2_jpg.rf.6dae3d68129c5d5abd50b67553a5b3b23.jpg,Onychomycosis,Onychomycosis,0.9862,"Possible fungal nail infection; causes thick, brittle, or discolored nails."
2_PNG_compressed_jpg.rf.27ec8c3bed422b97d7e04651c1ac4e92.jpg,Beau’s Lines,Beau’s Lines,0.9861,"Possible history of illness, infection, or stress disrupting nail growth."
Screenshot 2025-10-25 232232.png,Pitting,Pitting,0.986,Possible psoriasis or eczema; small depressions or dents on the nail surface.
6_PNG_compressed_jpg.rf.1a3c3dbe410d765190049818124f9ed5.jpg,Beau’s Lines,Beau’s Lines,0.986,"Possible history of illness, infection, or stress disrupting nail growth."
istockphoto-1199610146-612x613.jpg,Psoriasis,Psoriasis,0.9857,Possible autoimmune condition causing pitting or discoloration on nails.
Screenshot 2025-10-10 at 3.22.23 PM.png,Yellow Nail,Yellow Nail,0.9857,"Possible fungal infection, liver disease, or chronic respiratory issue."
istockphoto-855985394-612x613.jpg,Psoriasis,Psoriasis,0.9855,Possible autoimmune condition causing pitting or discoloration on nails.
Screenshot 2025-10-25 224850.png,Healthy Nail,Healthy Nail,0.9855,Normal nail appearance; no visible abnormalities or diseases.
38Screenshot 2025-10-26 002728.png,Acral Lentiginous Melanoma,Acral Lentiginous Melanoma,0.9855,Possible serious skin cancer forming under the nail; seek medical attention.
Screenshot 2025-10-25 214633.png,Bluish Nail,Bluish Nail,0.9853,Possible oxygen deficiency or cyanosis; may indicate heart or lung problems.
Screenshot 2025-10-10 at 3.41.32 PM.png,White Nail (Leukonychia),White Nail (Leukonychia),0.9853,Unknown condition — no rule defined.
Screenshot 2025-10-25 213221.png,Bluish Nail,Bluish Nail,0.9852,Possible oxygen deficiency or cyanosis; may indicate heart or lung problems.
Screenshot 2025-10-25 224558.png,Healthy Nail,Healthy Nail,0.9852,Normal nail appearance; no visible abnormalities or diseases.
Screenshot 2025-10-10 at 3.18.05 PM.png,Yellow Nail,Yellow Nail,0.9851,"Possible fungal infection, liver disease, or chronic respiratory issue."
Screenshot 2025-10-25 232210.png,Pitting,Pitting,0.9847,Possible psoriasis or eczema; small depressions or dents on the nail surface.
Screenshot 2025-10-10 at 3.20.48 PM.png,Yellow Nail,Yellow Nail,0.9845,"Possible fungal infection, liver disease, or chronic respiratory issue."
Screenshot 2025-10-25 224721.png,Healthy Nail,Healthy Nail,0.9844,Normal nail appearance; no visible abnormalities or diseases.
istockphoto-1208495609-612x618.jpg,Psoriasis,Psoriasis,0.9844,Possible autoimmune condition causing pitting or discoloration on nails.
Screenshot 2025-10-25 213907.png,Bluish Nail,Bluish Nail,0.9842,Possible oxygen deficiency or cyanosis; may indicate heart or lung problems.
Screenshot 2025-10-10 at 3.22.49 PM.png,Yellow Nail,Yellow Nail,0.9839,"Possible fungal infection, liver disease, or chronic respiratory issue."
istockphoto-1208495609-612x617.jpg,Psoriasis,Psoriasis,0.9839,Possible autoimmune condition causing pitting or discoloration on nails.
12_PNG_jpg.rf.a10388c2d608eb1657ef52d757516d12.jpg,Koilonychia,Koilonychia,0.9839,Possible iron deficiency anemia; nail appears spoon-shaped.
18_PNG_emboss_jpg.rf.5f5d69b788fc636a9222494904280d13.jpg,Beau’s Lines,Beau’s Lines,0.9837,"Possible history of illness, infection, or stress disrupting nail growth."
istockphoto-1208495609-612x612.jpg,Psoriasis,Psoriasis,0.9836,Possible autoimmune condition causing pitting or discoloration on nails.
Screenshot 2025-10-25 211720.png,Onychogryphosis,Onychogryphosis,0.9834,Possible nail thickening or curvature; common in elderly or due to trauma.
Screenshot 2025-10-25 213242.png,Bluish Nail,Bluish Nail,0.9834,Possible oxygen deficiency or cyanosis; may indicate heart or lung problems.
50Screenshot 2025-10-26 003431.png,Acral Lentiginous Melanoma,Acral Lentiginous Melanoma,0.9833,Possible serious skin cancer forming under the nail; seek medical attention.
38_PNG_jpg.rf.73e663a7c07ee7f74c92ab3c859aa82e.jpg,Koilonychia,Koilonychia,0.9832,Possible iron deficiency anemia; nail appears spoon-shaped.
distal-subungual-onychomycosis-9_jpg.rf.df90d6d4e43e0e1274c5a198423e9c8f.jpg,Onychomycosis,Onychomycosis,0.9827,"Possible fungal nail infection; causes thick, brittle, or discolored nails."
48Screenshot 2025-10-26 003340.png,Acral Lentiginous Melanoma,Acral Lentiginous Melanoma,0.9826,Possible serious skin cancer forming under the nail; seek medical attention.
Screenshot 2025-10-25 232329.png,Pitting,Pitting,0.9826,Possible psoriasis or eczema; small depressions or dents on the nail surface.
Screenshot 2025-10-25 211710.png,Onychogryphosis,Onychogryphosis,0.9825,Possible nail thickening or curvature; common in elderly or due to trauma.
4_PNG_jpg.rf.153d8c583e6b47c25a0b626def4dbc77.jpg,Koilonychia,Koilonychia,0.9825,Possible iron deficiency anemia; nail appears spoon-shaped.
distal-subungual-onychomycosis-2_jpg.rf.c75b025a2591f6c296e64b22a451928e3.jpg,Onychomycosis,Onychomycosis,0.9824,"Possible fungal nail infection; causes thick, brittle, or discolored nails."
Screenshot 2025-10-25 221249.png,Clubbing,Clubbing,0.9823,Possible chronic lung or heart disease causing low oxygen levels.
Screenshot 2025-10-25 214847.png,Bluish Nail,Bluish Nail,0.9822,Possible oxygen deficiency or cyanosis; may indicate heart or lung problems.
Screenshot 2025-10-10 at 3.17.24 PM.png,Yellow Nail,Yellow Nail,0.9821,"Possible fungal infection, liver disease, or chronic respiratory issue."
istockphoto-1367989535-612x612.jpg,Psoriasis,Psoriasis,0.9821,Possible autoimmune condition causing pitting or discoloration on nails.
k25_png_jpg.rf.9c4a01e6e9b05f943fc45cad0bac16a3.jpg,Koilonychia,Koilonychia,0.982,Possible iron deficiency anemia; nail appears spoon-shaped.
49Screenshot 2025-10-26 003402.png,Acral Lentiginous Melanoma,Acral Lentiginous Melanoma,0.982,Possible serious skin cancer forming under the nail; seek medical attention.
istockphoto-1208495609-612x614.jpg,Psoriasis,Psoriasis,0.982,Possible autoimmune condition causing pitting or discoloration on nails.
Screenshot 2025-10-25 211935.png,Onychogryphosis,Onychogryphosis,0.9819,Possible nail thickening or curvature; common in elderly or due to trauma.
22_PNG_compressed_jpg.rf.1c8db65157ee7f090b6c98783272dc25.jpg,Beau’s Lines,Beau’s Lines,0.9818,"Possible history of illness, infection, or stress disrupting nail growth."
Screenshot 2025-10-10 at 3.43.14 PM.png,White Nail (Leukonychia),White Nail (Leukonychia),0.9816,Unknown condition — no rule defined.
Screenshot 2025-10-10 at 3.48.07 PM.png,White Nail (Leukonychia),White Nail (Leukonychia),0.9816,Unknown condition — no rule defined.
47Screenshot 2025-10-26 003310.png,Acral Lentiginous Melanoma,Acral Lentiginous Melanoma,0.9815,Possible serious skin cancer forming under the nail; seek medical attention.
distal-subungual-onychomycosis-2_jpg.rf.6dae3d68129c5d5abd50b67553a5b3b2.jpg,Onychomycosis,Onychomycosis,0.9815,"Possible fungal nail infection; causes thick, brittle, or discolored nails."
37Screenshot 2025-10-26 002545.png,Acral Lentiginous Melanoma,Acral Lentiginous Melanoma,0.9814,Possible serious skin cancer forming under the nail; seek medical attention.
Screenshot 2025-10-10 at 3.42.28 PM.png,White Nail (Leukonychia),White Nail (Leukonychia),0.9812,Unknown condition — no rule defined.
Screenshot 2025-10-25 231934.png,Pitting,Pitting,0.9812,Possible psoriasis or eczema; small depressions or dents on the nail surface.
Screenshot 2025-10-25 214457.png,Bluish Nail,Bluish Nail,0.9811,Possible oxygen deficiency or cyanosis; may indicate heart or lung problems.
11_PNG_compressed_jpg.rf.79d1da7442a514edd6c4c109ef601087.jpg,Beau’s Lines,Beau’s Lines,0.9807,"Possible history of illness, infection, or stress disrupting nail growth."
Screenshot 2025-10-25 214431.png,Bluish Nail,Bluish Nail,0.9806,Possible oxygen deficiency or cyanosis; may indicate heart or lung problems.
Screenshot 2025-10-25 220818.png,Clubbing,Clubbing,0.9806,Possible chronic lung or heart disease causing low oxygen levels.
Screenshot 2025-10-25 224243.png,Healthy Nail,Healthy Nail,0.9806,Normal nail appearance; no visible abnormalities or diseases.
Screenshot 2025-10-25 211640.png,Onychogryphosis,Onychogryphosis,0.9806,Possible nail thickening or curvature; common in elderly or due to trauma.
21_PNG_compressed_jpg.rf.02be9232a0b2426ec8d6e1f99313e8ad.jpg,Beau’s Lines,Beau’s Lines,0.9805,"Possible history of illness, infection, or stress disrupting nail growth."
36Screenshot 2025-10-26 002503.png,Acral Lentiginous Melanoma,Acral Lentiginous Melanoma,0.9803,Possible serious skin cancer forming under the nail; seek medical attention.
Screenshot 2025-10-10 at 3.20.32 PM.png,Yellow Nail,Yellow Nail,0.9802,"Possible fungal infection, liver disease, or chronic respiratory issue."
Screenshot 2025-10-25 221138.png,Clubbing,Clubbing,0.9801,Possible chronic lung or heart disease causing low oxygen levels.
Screenshot 2025-10-25 231454.png,Pitting,Pitting,0.9801,Possible psoriasis or eczema; small depressions or dents on the nail surface.
k2_png_jpg.rf.4936cdac0c9dfca15b4b0a9df50e77fa.jpg,Koilonychia,Koilonychia,0.98,Possible iron deficiency anemia; nail appears spoon-shaped.
